solar_data,solar_hashes,dump_data,dump_hashes
A3034KR4301HA26280080021900000024009235835001900023900181002180002004500022037555ÿ,2013-09-27 09:23:58.372653,A3034KR4301HA26280080021900000024009235835001900023900181002180002004500022037555ÿ,2013-09-27 09:23:58.369305
A3034KR4301HA26280080023400000034009282658001900023900181002330002369800026071410ÿ,2013-09-27 09:28:26.616747,A3034KR4301HA26280080023400000034009282658001900023900181002330002369800026071410ÿ,2013-09-27 09:28:26.610601
A3034KR4301HA26280080024000000014009283546001900024200181002410002424100026716655ÿ,2013-09-27 09:28:35.484750,A3034KR4301HA26280080024000000014009283546001900024200181002410002424100026716655ÿ,2013-09-27 09:28:35.482769
A3034KR4301HA26280080024000000034009292492001900024300181002410002509200027733225ÿ,2013-09-27 09:29:24.946619,A3034KR4301HA26280080024000000034009292492001900024300181002410002509200027733225ÿ,2013-09-27 09:29:24.937540
A3034KR4301HA26280080017600000014014502584001900024300175001750009584100098305705ÿ,2013-09-27 14:50:25.998581,A3034KR4301HA26280080017600000014014502584001900024300175001750009584100098305705ÿ,2013-09-27 14:50:25.856129
A3034KR4301HA26280080023800000034009283148001900023900181002390002392300026335975ÿ,2013-09-27 09:28:31.506752,A3034KR4301HA26280080023800000034009283148001900023900181002390002392300026335975ÿ,2013-09-27 09:28:31.506424
A3034KR4301HA26280080021200000044009243341001900023900181002130002068100022721065ÿ,2013-09-27 09:24:33.440747,A3034KR4301HA26280080021200000044009243341001900023900181002130002068100022721065ÿ,2013-09-27 09:24:33.436514
A3034KR4301HA26280080021500000054009253405001900023900181002140002138700023464885ÿ,2013-09-27 09:25:34.085713,A3034KR4301HA26280080021500000054009253405001900023900181002140002138700023464885ÿ,2013-09-27 09:25:34.075186
A3034KR4301HA26280080021900000074009262801001900023900181002200002183900023955350ÿ,2013-09-27 09:26:28.048719,A3034KR4301HA26280080021900000074009262801001900023900181002200002183900023955350ÿ,2013-09-27 09:26:28.048168
A3034KR4301HA26280080022600000034009273343001900023900181002250002261600024824480ÿ,2013-09-27 09:27:33.484747,A3034KR4301HA26280080022600000034009273343001900023900181002250002261600024824480ÿ,2013-09-27 09:27:33.475304
A3034KR4301HA26280080023900000034009283287001900024100181002410002405000026487865ÿ,2013-09-27 09:28:32.912745,A3034KR4301HA26280080023900000034009283287001900024100181002410002405000026487865ÿ,2013-09-27 09:28:32.904719
A3034KR4301HA26280080022500000064009272828001900023900181002240002237400024549395ÿ,2013-09-27 09:27:28.341743,A3034KR4301HA26280080022500000064009272828001900023900181002240002237400024549395ÿ,2013-09-27 09:27:28.333778
A3034KR4301HA26280080022800000084009272984001900023900181002290002246900024657520ÿ,2013-09-27 09:27:29.879745,A3034KR4301HA26280080022800000084009272984001900023900181002290002246900024657520ÿ,2013-09-27 09:27:29.872182
A3034KR4301HA26280080023100000014009231408001900023900181002300001933800021249400ÿ,2013-09-27 09:23:14.108652,A3034KR4301HA26280080023100000014009231408001900023900181002300001933800021249400ÿ,2013-09-27 09:23:14.108451
